HRB #,District Contributor ID,Name of Historic Site or Structure,APN,Street #,Street Name,City ,Zip Code,Comm. Plan Area,Neighborhood,Date Designated ,Designation Criteria,Other Inventory Listings,Architectural Style,"Year Built",Architect and/or Builder,Historic Individ,Historic District,Staff Report Number
229,,The Athenaeum,350-091-17,1008,Wall Street,San Diego,92037,La Jolla,La Jolla,7/27/88,,,,1956,William Lumpkins,,,
230,,Parker Office Building,350-091-08,7917,Girard Avenue,San Diego,92037,La Jolla,La Jolla,7/27/88,,,,1928-30,,,,
231,,Zenas Sikes Adobe,272-131-08,3672,Sunset Drive,San Diego,92025,San Pasqual,San Pasqual,7/27/88,,,,1870,Thomas Shepherd.,,,
232,,Mission Brewery / American Agar Co.,"451-590-63 &451-590-65",1751,Hancock Street,San Diego,92110,Midway,,11/30/88,,NR 1989-07-06,,,William Sterling Hebbard.,,,
233,,Sefton/Campbell Estate,449-320-05,3850,Narragansett Avenue,San Diego,92107,Peninsula,Point Loma Heights,11/30/88,,,,1914,,,,
234,,Scripps Memorial Hospital and Clinic,"350-300-32:350-300-34:350-300-35","464476",Prospect Street,San Diego,92037,La Jolla,la Jolla,4/26/89,,,,1924-28,Louis Gill,,,
235,,Balboa Park Fire Alarm Headquarters Building,534-450-08,1845,Eighth Avenue,San Diego,92101,Balboa Park,Balboa Park,7/26/89,,,,1927-29,,,,
236,,El Toreador Motel,666-200-30,631,East San Ysidro Boulevard,San Diego,92173,San Ysidro,San Ysidro,8/30/89,A and C,,Spanish Colonial Revival,1948,,,,
237,,Junipero Serra Museum,442-520-07,2727,Presidio Drive,San Diego,92103,Old San Diego,Old Town,9/27/89,,,,1929,"William TempletonJohnson",,,
238,,Jimmy Wong's Golden Dragon Neon Sign,441-671-10,412-414,University Avenue,San Diego,92103,Uptown,Hillcrest,9/27/89,,,,1955,,,,
239,,Winks/Deturi/Shoe Palace/Shoe Repair/Neon Sign,453-122-01,2901,University Avenue,San Diego,92104,Greater North Park,North Park,9/27/89,,,,1949,,,,
240,,Presidio Park,442-520-07,4301,Taylor Street,San Diego,92103,Old San Diego,Old Town,12/6/89,,,,,,,,
241,,McDonald/Fowler/ Mack,452-013-63,3766,Albatross Street,San Diego,92103,Uptown,Hillcrest,3/28/90,,,,1900,,,,
242,,Crystal Pier,423-021-10,4500,Ocean Boulevard,San Diego,92109,Pacific Beach,Pacific Beach,3/28/90,,,,1926,,,,
243,,Crystal Pier Administration Building,423-021-10,4500,Ocean Boulevard,San Diego,92109,Pacific Beach,Pacific Beach,3/28/90,,,,1926,,,,
244,,Tony Bernadini Building,533-232-08,1702-1704,India Street,San Diego,92101,Centre City,Little Italy,4/25/90,,,,1926,,,,
245,,North Park Theater,453-121-05,2891,University Avenue,San Diego,92104,Greater North Park,North Park,4/25/90,,,,1928,Quayle Brothers,,,
246,,Oscar Grunert House,465-344-02,4679,Vista Street,San Diego,92116,Kensington-Talmadge,Kensington,4/25/90,,,,1912,,,,
247,,Soledad Schoolhouse,,,Carmel Valley Road,San Diego,,,,5/23/90,,,,1905,,,,
248,,Edwin Capps Residence Site,543-202-20,910,60th Street,San Diego,92114,Encanto Neighborhoods,Encanto,5/23/90,,,,Between 1911-1917,,,,
249,,Dutch Flats / Ryan Field,,,"Bounded by Barnett Avenue, Midway Drive, Rosecrans Street and Sports Arena Boulevard.",San Diego,92101,Midway Pacific Highway,,6/27/90,,,,,,,,
250,,Our Lady of the Rosary Church and Parish Hall,533-352-17,1654-1668,State Street,San Diego,92101,Centre City,Little Italy,6/27/90,,,,1923,,,,
251,,Fire Station #6,533-331-12,1570,Columbia Street,San Diego,92101,Centre City,Little Italy,6/27/90,,,,1915,,,,
252,,Dunaway Drugs,415-603-15,980,Garnet Street,San Diego,92109,Pacific Beach,Pacific Beach,6/27/90,,,,1926,,,,
253,,Park Manor,452-623-08-00,525,Spruce Street,San Diego,92103,Uptown,Park West,6/27/90,,,,1926,,,,
254,,Josiah E. Shaffer Residence,353-361-01,1665,Union Street,San Diego,92101,Centre City,Little Italy,6/27/90,,,,1896,,,,
255,,Clawson Jones Rental,533-361-01,1658-1668,Front Street,San Diego,92101,Centre City,Cortez,6/27/90,,,,1887,,,,
256,,Silberhorn / Hord Residence,533-361-01,205,West Date Street,San Diego,92101,Centre City,Little Italy,6/27/90,,,,1888,,,,
257,,San Diego Grain and Milling Co. /Parron Hall Co.,533-326-04,820,West Ash Street,San Diego,92101,Centre City,Little Italy,7/25/90,,,,1909,,,,
258,,Foster-Kleiser Co. Building,533-122-01,2260,Columbia Street,San Diego,92101,Centre City,Little Italy,7/25/90,,,,1926,,,,
259,,"Milton E. FintzelbergCommercial Building",533-223-05,1917-1921,India Street,San Diego,92101,Centre City,Little Italy,7/25/90,,,,1928,,,,
260,,Electrical Products Co. / California Stamp Co.,533-231-05,1702,Kettner Boulevard,San Diego,92101,Centre City,Little Italy,7/25/90,,,,1930,,,,
261,,DeFalco's Grocery / Zolezzi Commercial Building,533-233-09,1703,India Street,San Diego,92101,Centre City,Little Italy,7/25/90,,,,1939,,,,
262,,Tait's Meat Market / Assenti's Pasta,533-233-08,1731-1739,India Street,San Diego,92101,Centre City,Little Italy,7/25/90,,,,1926,,,,
263,,Auto Body Co. / Retail Building,533-233-07,1743,India Street,San Diego,92101,Centre City,Little Italy,7/25/90,,,,1927,,,,
264,,Albert G. Muller Grocery / Filippi's Pizza,533-233-07,1747-1753,India Street,San Diego,92101,Centre City,Little Italy,7/25/90,,,,1914& 1930 ,,,,
265,,McDonough Cleaners / City Dye Works,533-031-06,2400-2404,India Street,San Diego,92101,Centre City,Little Italy,7/25/90,,HRB# 250,,1930,,,,
266,,Adams-Henry Company Building,533-121-06,800-826,West Ivy Street,San Diego,92101,Centre City,Little Italy,7/25/90,,,,1913,,,,
267,,San Diego Macaroni Manufacturing Co.,533-022-04,2308,Kettner Boulevard,San Diego,92101,Centre City,Little Italy,7/25/90,,,,1924,,,,
268,,Sidewalk Stamp - San Diego Macaroni,533-022-04,2308,Kettner Boulevard,San Diego,92101,Centre City,Little Italy,7/25/90,,,,,,,,
269,,El Cortez Hotel,"534-032-04-01 - 534-032-04-12and534-032-05-01 - 534-032-05-85",702,Ash Street,San Diego,92101,Centre City,Cortez,7/25/90,,NR 2002-01-17,Spanish Colonial Revival,1927,Albert R. Walker and Percy Eisen,,,
270,,William Clayton House,533-104-06,545,Laurel Street,San Diego,92101,Uptown,Middletown,7/25/90,,,,1907,,,,
271,,Ballatore's Residence,533-332-01,1557,Columbia Street,San Diego,92101,Centre City,Little Italy,8/22/90,,,,1906,,,,
272,,St. Anne's Clinic,533-233-22,1762,Columbia Street,San Diego,92101,Centre City,Little Italy,8/22/90,,,,1890,,,,
273,,Charles A. Tait Rentals,533-533-21,1764,Columbia Street,San Diego,92101,Centre City,Little Italy,8/22/90,,,Victorian,1892,,,,
274,,Captain Amos Pettengill House,533-223-07,602,West Fir Street,San Diego,92101,Centre City,Little Italy,8/22/90,,,Folk Victorian style Demolished,1886,,,,
275,,Vue de L'Eau Apartments,533-581-05,532,West Grape Street,San Diego,92101,Centre City,Little Italy,8/22/90,,,,1913,,,,
276,,Fiesta Apartments,"533-125-03,533-125-04",648,West Hawthorn Street,San Diego,92101,Centre City,Little Italy,8/22/90,,,,1911,Quayle Brothers,,,
277,,A.W. Pray Rentals,533-224-05,1907,Kettner Boulevard,San Diego,92101,Centre City,Little Italy,8/22/90,,,Gothic Victorian Style,1888,,,,
278,,Ordway Residence,533-352-09,1620,State Street,San Diego,92101,Centre City,Little Italy,8/22/90,,,,1888,,,,
279,,Daniel O. Cook Residence,533-352-10,1632,State Street,San Diego,92101,Centre City,Little Italy,8/22/90,,HRB# 250,Queen Anne Victorian,1898,,,,
280,,J.B. Spaeth Rental,533-352-11,1642,State Street,San Diego,92101,Centre City,Little Italy,8/22/90,,HRB# 250,,1888,,,,
281,,J.B. Spaeth Residence,533-352-12,1644-1648,the Bungalow Office Court on 4th Ave near Thorn,San Diego,92101,Centre City,Little Italy,8/22/90,,,,1888,,,,
282,,Oscar M. Hillard Rental,533-353-10,1610,Union Street,San Diego,92101,Centre City,Little Italy,8/22/90,,,,1894,,,,
283,,Andrew Cassidy Home,533-353-11,1620,Union Street,San Diego,92101,Centre City,Little Italy,8/22/90,,HRB# 250,,1888,,,,
284,,Howard M. Kutchin Home,533-353-13,1642-1648,Union Street,San Diego,92101,Centre City,Little Italy,8/22/90,,,,1890,,,,
285,,Edward F. French Rental,533-353-14,1654,Union Street,San Diego,92101,Centre City,Little Italy,8/22/90,,,,1888,,,,
286,,Dr. Rodes House / Brockton Villa,350-050-16,1235,Coast Boulevard,San Diego,92037,La Jolla,La Jolla,8/22/90,,,,1894,,,,
287,,Marston House Garden,452-430-31,3525,Seventh Avenue,San Diego,92103,Uptown,Hillcrest,8/22/90,,,,,,,,
288,,Coast Walk Trail and Devil's Slide Footbridge,,,Coast Walk Trail,San Diego,92037,La Jolla,La Jolla,8/22/90,,,,,,,,
289,,Carnation/ Qualitee Dairy Building,535-124-02,354,Eleventh Avenue,San Diego,92101,Centre City,East Village,9/26/90,,,,1928,,,,
290,,Carter House,534-290-20,2586-2588,Broadway,San Diego,92102,Greater Golden Hill,Golden Hill,9/26/90,,,,1888,,,,
291,,California Theater,"533-521-04,533-521-05",1122,Fourth Avenue,San Diego,92101,Centre City,Core,10/24/90,,,,1926-27,,,,
292,,Frank L. Rawson Residence,533-354-08,230,West Cedar Street,San Diego,92101,Centre City,Little Italy,10/24/90,,,,1888,,,,
293,,"Grace Lutheran Church, Parsonage, & Sunday School Buildings",445-660-29-10,3993,Park Boulevard,San Diego,92104,Greater North Park,North Park,12/5/90,,,,1930,,,,
294,,Colonial Inn Project Sites,"350-022-03 -350-022-05","915921925 & 927",Coast Boulevard,San Diego,92037,La Jolla,La Jolla,12/5/90,,,,,,,,
295,,Mount Soledad Park & Memorial Cross,,,Soledad Road,San Diego,92037,La Jolla,La Jolla,1/30/91,,,,,,,,
296,,First Church Christ Scientist / Goodbody's,533-443-01,317,Ash Street,San Diego,92101,Centre City,Cortez,1/30/91,,,,1904,Hebbard & Gill,,,
297,,San Diego Nurses' Club,533-422-12,1468,First Avenue,San Diego,92101,Centre City,Cortez,1/30/91,,,Neoclassical with Craftsman influences,1907,Builder: S.O. Spaulding,"Dr. Edward ""Father"" Gahan",,
298,,Wilsonia Hotel,533-374-03,1545,Second Avenue,San Diego,92101,Centre City,Cortez,1/30/91,,,,1913,,,,
299,,Anton Mayrhofer Residence,533-363-10,1572,Second Avenue,San Diego,92101,Centre City,Cortez,1/30/91,,HRB# 296,,1904,,,,
300,,St. Joseph's Cathedral,533-373-09,1535,Third Avenue,San Diego,92101,Centre City,Cortez,1/30/91,,,,1940,,,,
301,,Dr. W. Peper Residence,533-383-06,1502,Sixth Avenue,San Diego,92101,Centre City,Cortez,1/30/91,,,,1894,,,,
302,,Alexandria Apartments,534-021-02,1609,Eighth Avenue,San Diego,92101,Centre City,Cortez,1/30/91,,,,1913,,,,
303,,Mills Residence,534-011-05,1604,Seventh Avenue,San Diego,92101,Centre City,Cortez,2/27/91,,,,1901,Hebbard & Gill,,,
304,,Salk Institute for Biological Studies,342-010-38,10010,North Torrey Pines Road,San Diego,92037,University,La Jolla,2/27/91,,,Brutalist,1965,Louis Kahn,Jonas Salk,,
305,,"John Ginty Residence (includes Fairhead stone, retaining wall & stairway)",534-024-12,1568,Ninth Avenue,San Diego,92101,Centre City,Cortez,6/12/91,,NF 2006-12-18,,1886,,,,
306,,George Kroenert,534-041-01,1471,Eighth Avenue,San Diego,92101,Centre City,Cortez,6/12/91,,,,1899,Hebbard & Gill,,,
307,,Amy Strong House,452-666-04,2802,Fourth Avenue,San Diego,92103,Uptown,Middletown,6/12/91,,,,1906,,,,
308,,Bradley-Woolman St. Cecelia Chapel,"533-382-05 &533-382-06",1620,Sixth Avenue,San Diego,92101,Centre City,Cortez,7/24/91,,,,1928,,,,
309,,Julian Produce Co. Warehouse Building,535-351-10,629,J Street,San Diego,92101,Centre City,East Village,7/24/91,,,,1912,,,,
310,,Egyptian Courts Apartments,452-200-55,3770-3774,Park Boulevard,San Diego,92103,Uptown,Hillcrest,7/24/91,,,,1925,Paul Carle,,,
311,,Emmett G. O'Neill Residence,452-718-02,2765,Second Avenue,San Diego,92103,Uptown,Middletown,9/25/91,,,,1924-25,,,,
312,,Star Builders Co. Building,533-322-10,726-732,West Beech Street,San Diego,92101,Centre City,Little Italy,12/11/91,,,,,,,,
313,,Charles L. Boesch Residence,424-022-19,1704,Grand Avenue,San Diego,92109,Pacific Beach,Pacific Beach,2/26/92,,,,1907,,,,
314,,Martha Kinsey Residence,350-143-02,1624,Ludington Lane,San Diego,92037,La Jolla,La Jolla,3/25/92,,NR 1992-08-07,,1937,Lilian Jenette Rice,,,
315,,Torrey Pines Gliderport,"Portions of Pueblo Lots 1323-1326",,"Bounded by Torrey Pines Road to E, Torrey Pines Scenic Dr to S, Torrey Pines Golf Course and Torrey Pines State Park to N.",San Diego,92037,La Jolla,La Jolla,8/26/92,,NR 1993-07-12,,,,,,
316,,First Church of Christ Scientist,533-094-11,2442,Second Avenue,San Diego,92101,Uptown,Middletown,3/24/93,,,,1909,Irving Gill,,,
317,,Designation Overturned,,,,,,,,,,,,,,,,
318,,Melhorn-King Residence,443-684-09,1302,Washington Place,San Diego,92103,Uptown,Mission Hills,4/28/93,,,,1913,Martin V. Melhorn,,,
319,,Imig Manor,445-402-01,2223,El Cajon Boulevard,San Diego,92104,Greater North Park,North Park,9/22/93,,,,1946,,,,
320,,First Avenue Bridge,"City/CaltransBridge ID#57C-416",2700 & 2800 Blocks,First Avenue,San Diego,92103,Uptown,Middletown,12/8/93,,,,1931,,,,
321,,Alvarado Water Filtration Plant Operations Building (portions of),"464-010-07(City Building # 6719)",5540,Kiowa Drive,San Diego,91942,Navajo,San Carlos,4/27/94,,,,1950,Daniel Elliott,,,
322,,Dulzura Conduit Flumes 10 and 12,,From Barrett Reservoir & Dam to Otay Creek & Lake,,San Diego,,,,4/27/94,,,,1906,,,,
323,,St. Joseph's Rectory / Old Town Convent,4426101200,2615,Calhoun Street,San Diego,92103,Old San Diego,Old Town,7/24/94,,,,1908,Tim Walsh,,,
324,,Bentham Hall at the Bishop's School,350-431-10,7607,La Jolla Boulevard,San Diego,92037,La Jolla,La Jolla,7/27/94,,,,1910,Irving Gill and Louis Gill,,,
325,,Georgia Street Bridge,"City/CaltransBridge ID#57C-418",Between 3800 & 3900 Blocks,Georgia Street,San Diego,92104,Greater North Park,North Park,9/28/94,"A (Event); C (Design); D (Information)",NR 1999-02-12,Beaux-Arts,1914,James R. Comly,,,
326,,Fire Station #4,535-115-05,400,Eighth Avenue,San Diego,92101,Centre City,East Village,10/26/94,"B (Architecture);D (Community History) ",,Art Deco/Art Modern,1936-38,Gustav Hanssen,,,no report # given
327,,Darlington House,350-591-13,7441,Olivetas Avenue,San Diego,92037,La Jolla,La Jolla,7/26/95,"B (Architecture); C (Architect)",,Mediterranean,1925,"H. Palmer, R. Requa, T. Shepherd",,,no report # given
328,,Guymon-Fletcher-Lovett Building,534-331-11,900-920,E Street,San Diego,92101,Centre City,East Village,8/23/95,"A (Event); B (Architecture)",,Classical Revival ,1910,,,,no report # given
329,,First Baptist Church,"534-331-11 -534-331-13",906,Tenth Avenue,San Diego,92101,Centre City,East Village,8/23/95,"B (Architecture); C (Architect)",,Mission Revival,1912,Norman Marsh,,,no report # given
330,,Villa Orizaba,443-552-10,2036,Orizaba Avenue,San Diego,92103,Uptown,Mission Hills,10/25/95,"A (Historical Person); B (Architecture)",,Vernacular Prairie ,1888,,,,no report # given
331,,First Church of the United Brethren in Christ / Thackeray Gallery,452-055-39,321,Robinson Avenue,San Diego,92103,Uptown,Hillcrest,2/28/96,"A (Historical Person); B (Architecture); D (Community History)",,Classical Revival ,1912,Hunter Nelson/ San Diego Architectural Designs Company,George & Grace Thackeray,,no report # given
332,,Hardesty House,452-285-01,3695,Third Avenue,San Diego,92103,Uptown,Hillcrest,3/27/96,B (Architecture),,Victorian,1905,,,,no report # given
333,,Evangeline Caven Bungalow,452-493-02,410,West Upas Street,San Diego,92103,Uptown,Hillcrest,5/22/96,"A (Historical Person);B (Architecture); C (Architect, Builder)",,Craftsman Bungalow,1915,Carleton Winslow,"Evangeline Craven, Charles Lee Craven, William White, Harriet Wimmer, John Wimmer, Al Jacoby",,no report # given
334,,Palomar Apartment Building,452-714-10,536,Maple Street,San Diego,92103,Uptown,Middletown,5/22/96,"A (Historical Person); B (Architecture); C (Architect)",,Mission Revival ,1913-15,Frank Mead & Richard Requa,Wallis Simpson (Duchess of Windsor); Charles Lindberg,,no report # given
335,,San Diego Trust and Savings Bank Building,533-524-07,530-540,Broadway,San Diego,92101,Centre City,Core,6/26/96,"A (Historical Person, Important Event); B (Architecture); C (Architect)",NR 1999-12-17,Italianate Romanesque Revival,1928,William Templeton Johnson,Joseph Weller Sefton Sr. & Jr. ,,no report # given
336,,Edward Grove Residence,533-186-03,2243,Front Street,San Diego,92101,Uptown,Middletown,8/28/96,A (Historical Person); B (Architecture); C (Architect),,Victorian/Craftsman Shingle,1901,Hebbard and Gill,Reverend John Gayner Banks; Ethel Banks,,no report # given
337,,Sheng Haw Low Neon Sign,472-470-49,5801,University Avenue,San Diego,92115,Mid City,Eastern Area,10/23/96,"B (Construction); D (Social History of Community) ",,,1951,Tom Sheng and San Diego Neon,,,no report # given
338,208-319A,Sherman Heights Apartments,535-433-05,2106,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,10/23/96,A (Historical Person),HRB #208-319,,1903,,,Sherman Heights Historic District,no report # given
339,,"San Diego Electric Railway Cars 126, 128, 138","445-051-23 & 445-051-27(parcels not designated)",4674-4676,Florida Street,San Diego,92104,Greater North Park,North Park,1/22/97,"A (Historical Person);B (Design);C (Master Builder)",,San Diego Electric Railway Car,1911,"Abel A. Butterworth, Master Car Builder","John D. Sprekels;William Clayton",,no report # given
340,,"SDG&E Substation A ""Brick Building""",538-010-22,75,Ninth Avenue,San Diego,92101,Centre City,East Village,6/25/97,"B (Architecture);C (Cultural Landscape)",,Richardsonian Romanesque Revival,1911,SDG&E,,,no report # given
341,,Bayside Properties,535-623-06,21,16th Street,San Diego,92101,Centre City,East Village,6/25/97,"B (Architecture);C (Cultural Landscape)",,East Lake Stick,1887,,,,no report # given
342,,Bayside Properties,535-623-05,33,16th Street,San Diego,92101,Centre City,East Village,6/25/97,"B (Architecture);C (Cultural Landscape)",,Queen Anne Victorian,1887-88,,,,no report # given
343,,Bayside Properties,535-623-03,53,16th Street,San Diego,92101,Centre City,East Village,6/25/97,"B (Architecture);C (Cultural Landscape)",,Queen Anne Victorian,1887,,,,no report # given
344,,Scripps Building,533-524-10,525,C Street,San Diego,92101,Centre City,Core,6/25/97,"A (Historical Person);B (Architecture)",,Edwardian Commercial,1907,"Samuel Kennedy, architect;Carl Leonardt Company, builder",Scripps Family,,no report # given
